session	day	PE	dwi_events	qct_events	rest_events	bht_events
001	2023-10-20	LR	fixation_2023-10-20_18h48.03.561_5_session_1.log	qct_2023-10-20_19h40.38.964_2_session_1.log	rest_2023-10-20_19h48.22.344_0_session_1.log	bht_2023-10-20_20h10.50.517_0_session_1.log
003	2023-10-21	LR	fixation_2023-10-21_09h26.29.983_3_session_3.log	qct_2023-10-21_10h04.32.961_0_session_3.log	rest_2023-10-21_10h11.23.092_0_session_3.log	bht_2023-10-21_10h33.23.269_0_session_3.log
004	2023-10-21	RL	fixation_2023-10-21_11h28.03.360_2_session_4.log	qct_2023-10-21_12h14.11.346_3_session_4.log	rest_2023-10-21_12h20.30.939_0_session_4.log	bht_2023-10-21_12h43.24.654_0_session_4.log
005	2023-10-22	PA	fixation_2023-10-22_09h46.25.719_2_session_5.log	qct_2023-10-22_10h25.10.141_0_session_5.log	rest_2023-10-22_10h32.38.153_0_session_5.log	bht_2023-10-22_10h55.36.134_0_session_5.log
006	2023-10-22	PA	fixation_2023-10-22_11h32.03.586_0_session_6.log	qct_2023-10-22_12h10.47.134_0_session_6.log	rest_2023-10-22_12h16.56.202_0_session_6.log	bht_2023-10-22_12h39.19.476_1_session_6.log
007	2023-10-23	LR	fixation_2023-10-23_19h47.56.955_3_session_7.log	qct_2023-10-23_20h25.20.999_0_session_7.log	rest_2023-10-23_20h31.49.334_0_session_7.log	bht_2023-10-23_20h54.11.318_1_session_7.log
008	2023-10-23	RL	fixation_2023-10-23_21h30.29.785_0_session_8.log	qct_2023-10-23_22h08.36.963_0_session_8.log	rest_2023-10-23_22h15.00.201_0_session_8.log	bht_2023-10-23_22h36.54.314_0_session_8.log
009	2023-10-24	AP	fixation_2023-10-24_19h39.27.478_3_session_9.log	qct_2023-10-24_20h15.40.693_0_session_9.log	rest_2023-10-24_20h24.27.482_0_session_9.log	bht_2023-10-24_20h46.08.308_0_session_9.log
010	2023-10-24	RL	fixation_2023-10-24_21h26.14.900_1_session_10.log	qct_2023-10-24_22h10.40.236_0_session_10.log	rest_2023-10-24_22h18.14.132_0_session_10.log	bht_2023-10-24_22h41.05.920_0_session_10.log
011	2023-10-25	AP	fixation_2023-10-25_20h37.34.053_7_session_11.log	qct_2023-10-25_21h12.18.840_0_session_11.log	rest_2023-10-25_21h23.26.254_0_session_11.log	bht_2023-10-25_21h47.06.131_1_session_11.log
013	2023-10-26	PA	fixation_2023-10-26_19h27.13.413_3_session_13.log	qct_2023-10-26_20h05.24.294_0_session_13.log	rest_2023-10-26_20h13.47.119_1_session_13.log	bht_2023-10-26_20h36.26.995_1_session_13.log
015	2023-10-27	AP	fixation_2023-10-27_19h24.33.684_1_session_15.log	qct_2023-10-27_19h59.03.664_0_session_15.log	rest_2023-10-27_20h06.19.329_0_session_15.log	bht_2023-10-27_20h31.31.806_0_session_15.log
016	2023-10-27	RL	fixation_2023-10-27_21h14.58.939_0_session_16.log	qct_2023-10-27_21h50.56.832_0_session_16.log	rest_2023-10-27_21h59.57.982_0_session_16.log	bht_2023-10-27_22h22.00.459_0_session_16.log
017	2023-10-28	PA	fixation_2023-10-28_17h33.18.362_0_session_17.log	qct_2023-10-28_18h10.17.815_0_session_17.log	rest_2023-10-28_18h17.25.018_0_session_17.log	bht_2023-10-28_18h39.15.707_0_session_17.log
018	2023-10-28	LR	fixation_2023-10-28_19h28.44.805_1_session_18.log	qct_2023-10-28_20h04.55.538_0_session_18.log	rest_2023-10-28_20h15.04.661_1_session_18.log	bht_2023-10-28_20h36.56.464_0_session_18.log
019	2023-10-29	PA	fixation_2023-10-29_17h27.42.762_0_session_19.log	qct_2023-10-29_18h03.39.805_0_session_19.log	rest_2023-10-29_18h12.09.392_0_session_19.log	bht_2023-10-29_18h33.57.024_0_session_19.log
020	2023-10-29	RL	fixation_2023-10-29_19h19.52.151_1_session_20.log	qct_2023-10-29_19h59.33.715_0_session_20.log	rest_2023-10-29_20h05.09.929_0_session_20.log	bht_2023-10-29_20h27.21.398_0_session_20.log
021	2023-10-30	RL	fixation_2023-10-30_19h14.23.626_2_session_21.log	qct_2023-10-30_19h54.05.659_0_session_21.log	rest_2023-10-30_20h02.51.496_0_session_21.log	bht_2023-10-30_20h24.56.078_0_session_21.log
022	2023-10-30	AP	fixation_2023-10-30_21h04.29.483_1_session_22.log	qct_2023-10-30_21h42.46.455_0_session_22.log	rest_2023-10-30_21h51.11.079_0_session_22.log	bht_2023-10-30_22h13.00.516_0_session_22.log
023	2023-10-31	AP	fixation_2023-10-31_19h38.18.771_1_session_23.log	qct_2023-10-31_20h16.23.124_0_session_23.log	rest_2023-10-31_20h23.08.716_0_session_23.log	bht_2023-10-31_20h45.02.641_0_session_23.log
024	2023-10-31	AP	fixation_2023-10-31_21h49.38.233_2_session_24.log	qct_2023-10-31_22h29.32.491_0_session_24.log	rest_2023-10-31_22h36.04.198_0_session_24.log	bht_2023-10-31_22h58.13.607_0_session_24.log
025	2023-11-01	RL	fixation_2023-11-01_19h34.54.237_1_session_25.log	qct_2023-11-01_20h13.26.444_0_session_25.log	rest_2023-11-01_20h19.46.432_0_session_25.log	bht_2023-11-01_20h41.25.152_0_session_25.log
026	2023-11-01	PA	fixation_2023-11-01_21h19.06.608_1_session_26.log	qct_2023-11-01_21h55.19.742_0_session_26.log	rest_2023-11-01_22h03.59.490_0_session_26.log	bht_2023-11-01_22h26.03.086_0_session_26.log
028	2023-11-02	RL	fixation_2023-11-02_21h17.30.822_1_session_28.log	qct_2023-11-02_21h55.55.757_0_session_28.log	rest_2023-11-02_22h03.31.967_0_session_28.log	bht_2023-11-02_22h25.06.651_0_session_28.log
