session	day	PE	AcqKnowledge	Run
1	2023-10-20	LR	session2023-10-20T18:06:05.acq	n/a
3	2023-10-21	LR	session2023-10-21T09:07:18.acq	n/a
4	2023-10-21	RL	session2023-10-21T11:12:24.acq	n/a
5	2023-10-22	PA	session2023-10-22T09:36:48.acq	n/a
6	2023-10-22	PA	session2023-10-22T11:22:53.acq	n/a
7	2023-10-23	LR	session2023-10-23T19:31:18.acq	n/a
8	2023-10-23	RL	session2023-10-23T21:18:42.acq	n/a
9	2023-10-24	AP	session2023-10-24T19:24:56.acq	n/a
10	2023-10-24	RL	session2023-10-24T21:24:40.acq	n/a
11	2023-10-25	AP	session2023-10-25T20:20:54.acq	1
11	2023-10-25	AP	session2023-10-25T21:22:50.acq	2
13	2023-10-26	PA	session2023-10-26T19:16:00.acq	1
13	2023-10-26	PA	session2023-10-26T21:25:29.acq	2
13	2023-10-26	PA	session2023-10-26T21:44:06.acq	3
15	2023-10-27	AP	session2023-10-27T19:09:15.acq	n/a
16	2023-10-27	RL	session2023-10-27T21:01:57.acq	n/a
17	2023-10-28	PA	session2023-10-28T17:19:04.acq	n/a
18	2023-10-28	LR	session2023-10-28T19:18:02.acq	n/a
19	2023-10-29	PA	session2023-10-29T17:15:43.acq	n/a
20	2023-10-29	RL	session2023-10-29T19:08:34.acq	n/a
21	2023-10-30	RL	session2023-10-30T19:08:03.acq	n/a
22	2023-10-30	AP	session2023-10-30T20:56:42.acq	n/a
23	2023-10-31	AP	session2023-10-31T19:26:31.acq	n/a
24	2023-10-31	AP	session2023-10-31T21:35:54.acq	n/a
25	2023-11-01	RL	session2023-11-01T19:19:20.acq	n/a
26	2023-11-01	PA	session2023-11-01T21:08:31.acq	n/a
28	2023-11-02	RL	session2023-11-02T21:05:57.acq	n/a
37	2023-11-09	LR	session2023-11-09T18:31:20.acq	n/a
38	2023-11-09	PA	session2023-11-09T20:21:11.acq	n/a
39	2023-11-10	LR	session2023-11-10T18:12:39.acq	n/a
40	2023-11-10	AP	session2023-11-10T20:02:46.acq	n/a
41	2023-11-11	AP	session2023-11-11T08:20:41.acq	n/a
42	2023-11-11	PA	session2023-11-11T10:14:41.acq	n/a
43	2023-11-12	AP	session2023-11-12T09:18:49.acq	n/a
44	2023-11-12	LR	session2023-11-12T11:08:00.acq	n/a
45	2023-11-13	LR	session2023-11-13T18:31:22.acq	n/a
46	2023-11-13	LR	session2023-11-13T20:16:37.acq	n/a
47	2023-11-14	RL	session2023-11-14T18:59:58.acq	n/a
48	2023-11-14	PA	session2023-11-14T20:45:50.acq	n/a
