day	device	session	PE	bids_id
2024-08-20	Prisma	1	AP	00101060
2024-08-20	VidaFit	1	RL	00102030
2024-08-20	Vida07	1	PA	00103034
2024-08-21	Prisma	2	RL	00201060
2024-08-21	VidaFit	2	AP	00202030
2024-08-21	Vida07	2	RL	00203034
2024-08-22	Prisma	3	LR	00301060
2024-08-22	Vida07	3	PA	00302034
2024-08-22	VidaFit	3	AP	00303030
2024-08-23	Prisma	4	PA	00401060
2024-08-23	Vida07	4	RL	00402034
2024-08-23	VidaFit	4	RL	00403030
2024-08-24	Prisma	5	RL	00501060
2024-08-24	VidaFit	5	PA	00502030
2024-08-24	Vida07	5	LR	00503034
2024-08-25	Prisma	6	PA	00601060
2024-08-25	VidaFit	6	LR	00602030
2024-08-25	Vida07	6	RL	00603034
2024-08-26	Prisma	7	AP	00701060
2024-08-26	VidaFit	7	AP	00702030
2024-08-26	Vida07	7	AP	00703034
2024-08-27	Prisma	8	LR	00801060
2024-08-27	Vida07	8	LR	00802034
2024-08-27	VidaFit	8	PA	00803030
2024-08-28	Prisma	9	PA	00901060
2024-08-28	Vida07	9	AP	00902034
2024-08-28	VidaFit	9	LR	00903030
2024-08-29	Prisma	10	LR	01001060
2024-08-29	Vida07	10	AP	01002034
2024-08-29	VidaFit	10	PA	01003030
2024-08-30	Prisma	11	AP	01101060
2024-08-30	VidaFit	11	LR	01102030
2024-08-30	Vida07	11	PA	01103034
2024-08-31	Prisma	12	RL	01201060
2024-08-31	Vida07	12	LR	01202034
2024-08-31	VidaFit	12	RL	01203030
